Unnamed: 0,country,year,status,life_expectancy,alcohol,hepatitis_b,measles,bmi,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,_thinness_1_19_years,adult_mortality,percentage_expenditure,under_five_deaths,infant_deaths
113,Australia,2014,Developed,82.7,9.71,91.0,340.0,66.1,92.0,9.42,92.0,0.1,62510.7911705641,2346694.0,0.6,6.0,10769.36305,1,1
1267,Israel,2014,Developing,82.2,2.62,97.0,6.0,64.6,95.0,7.81,95.0,0.1,37738.4160702766,82157.0,1.2,6.0,4348.33531,1,1
97,Armenia,2014,Developing,74.6,3.91,93.0,13.0,54.1,95.0,4.48,93.0,0.1,3986.23162376713,29622.0,2.1,12.0,295.6087143,1,1
2666,Tunisia,2014,Developing,75.1,1.39,98.0,15.0,6.2,98.0,7.0,98.0,0.1,4305.48235674968,1114398.0,6.5,12.0,604.8701316,3,3
2682,Turkey,2014,Developing,75.5,1.45,96.0,565.0,65.3,96.0,5.41,96.0,0.1,12157.9904337823,773628.0,4.9,17.0,181.9083783,19,16
1781,Myanmar,2014,Developing,66.4,0.01,88.0,122.0,22.9,88.0,2.28,88.0,0.3,1140.76651982206,51924182.0,12.9,21.0,45.33788677,52,40
1347,Kazakhstan,2014,Developing,69.9,6.29,95.0,321.0,52.3,95.0,4.36,95.0,0.1,12807.2606866152,17289224.0,2.4,22.0,24.44473709,5,5
2152,Rwanda,2014,Developing,65.7,0.01,98.0,10.0,2.8,98.0,7.53,98.0,0.4,743.559037978437,11345357.0,5.8,23.0,7.549797238,16,12
1652,Mauritania,2014,Developing,63.0,0.01,84.0,14.0,3.1,84.0,3.77,84.0,0.9,1677.10901942794,46392.0,8.0,26.0,80.92679802,12,8
2715,Uganda,2014,Developing,61.5,0.01,78.0,314.0,18.1,82.0,7.22,78.0,3.2,879.734948641603,38833338.0,5.7,38.0,14.16770158,97,68
