,country,year,status,life_expectancy,alcohol,hepatitis_b,measles,bmi,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,_thinness_1_19_years
0,Afghanistan,2015,Developing,65.0,0.01,65.0,1154.0,19.1,6.0,8.16,65.0,0.1,584.25921,33736494.0,17.2
1,Afghanistan,2014,Developing,59.9,0.01,62.0,492.0,18.6,58.0,8.18,62.0,0.1,612.696514,327582.0,17.5
2,Afghanistan,2013,Developing,59.9,0.01,64.0,430.0,18.1,62.0,8.13,64.0,0.1,631.744976,31731688.0,17.7
3,Afghanistan,2012,Developing,59.5,0.01,67.0,2787.0,17.6,67.0,8.52,67.0,0.1,669.959,3696958.0,17.9
4,Afghanistan,2011,Developing,59.2,0.01,68.0,3013.0,17.2,68.0,7.87,68.0,0.1,63.537231,2978599.0,18.2
5,Afghanistan,2010,Developing,58.8,0.01,66.0,1989.0,16.7,66.0,9.2,66.0,0.1,553.32894,2883167.0,18.4
6,Afghanistan,2009,Developing,58.6,0.01,63.0,2861.0,16.2,63.0,9.42,63.0,0.1,445.8932979,284331.0,18.6
7,Afghanistan,2008,Developing,58.1,0.03,64.0,1599.0,15.7,64.0,8.33,64.0,0.1,373.3611163,2729431.0,18.8
8,Afghanistan,2007,Developing,57.5,0.02,63.0,1141.0,15.2,63.0,6.73,63.0,0.1,369.835796,26616792.0,19.0
9,Afghanistan,2006,Developing,57.3,0.03,64.0,1990.0,14.7,58.0,7.43,58.0,0.1,272.56377,2589345.0,19.2
10,Afghanistan,2005,Developing,57.3,0.02,66.0,1296.0,14.2,58.0,8.7,58.0,0.1,25.2941299,257798.0,19.3
11,Afghanistan,2004,Developing,57.0,0.02,67.0,466.0,13.8,5.0,8.79,5.0,0.1,219.1413528,24118979.0,19.5
12,Afghanistan,2003,Developing,56.7,0.01,65.0,798.0,13.4,41.0,8.82,41.0,0.1,198.7285436,2364851.0,19.7
13,Afghanistan,2002,Developing,56.2,0.01,64.0,2486.0,13.0,36.0,7.76,36.0,0.1,187.84595,21979923.0,19.9
14,Afghanistan,2001,Developing,55.3,0.01,63.0,8762.0,12.6,35.0,7.8,33.0,0.1,117.49698,2966463.0,2.1
15,Afghanistan,2000,Developing,54.8,0.01,62.0,6532.0,12.2,24.0,8.2,24.0,0.1,114.56,293756.0,2.3
19,Albania,2012,Developing,76.9,5.14,99.0,9.0,55.8,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3
20,Albania,2011,Developing,76.6,5.37,99.0,28.0,55.1,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4
21,Albania,2010,Developing,76.2,5.28,99.0,10.0,54.3,99.0,5.34,99.0,0.1,494.358832,291321.0,1.4
24,Albania,2007,Developing,75.9,5.58,98.0,22.0,51.7,99.0,6.1,98.0,0.1,363.13685,29717.0,1.6
25,Albania,2006,Developing,74.2,5.31,98.0,68.0,5.8,97.0,5.86,97.0,0.1,35.1293,2992547.0,1.7
26,Albania,2005,Developing,73.5,5.16,98.0,6.0,49.9,97.0,6.12,98.0,0.1,279.142931,311487.0,1.8
27,Albania,2004,Developing,73.0,4.54,99.0,7.0,48.9,98.0,6.38,97.0,0.1,2416.588235,326939.0,1.8
28,Albania,2003,Developing,72.8,4.29,97.0,8.0,47.9,97.0,6.27,97.0,0.1,189.681557,339616.0,1.9
29,Albania,2002,Developing,73.3,3.73,96.0,16.0,46.9,98.0,6.3,98.0,0.1,1453.642777,3511.0,2.0
30,Albania,2001,Developing,73.6,4.25,96.0,18.0,46.0,97.0,6.0,97.0,0.1,1326.97339,36173.0,2.1
31,Albania,2000,Developing,72.6,3.66,96.0,662.0,45.0,97.0,6.26,97.0,0.1,1175.788981,38927.0,2.1
97,Armenia,2014,Developing,74.6,3.91,93.0,13.0,54.1,95.0,4.48,93.0,0.1,3994.712355,29622.0,2.1
